FIPS,MONTH,TMAX,TMIN,PRCP,YEAR,W_KEY
37017,12,62.00322580645161,41.53548387096774,3.87,2012,2159
37017,01,58.661290322580655,37.58064516129032,1.85,2013,2160
37017,02,55.975,34.83571428571428,3.8999999999999995,2013,2161
37017,03,59.90645161290322,36.558064516129036,1.87,2013,2162
37017,04,73.64000000000001,50.89,4.13,2013,2163
37017,05,80.0774193548387,58.08709677419353,2.5300000000000002,2013,2164
37017,06,87.10333333333332,68.69333333333333,10.329999999999998,2013,2165
37017,07,88.31290322580645,72.6741935483871,7.430000000000001,2013,2166
37017,08,87.28387096774195,69.49677419354839,5.86,2013,2167
37017,09,84.23333333333333,62.533333333333324,1.4100000000000001,2013,2168
37017,10,74.35806451612906,54.04516129032258,0.9800000000000002,2013,2169
37017,11,64.35999999999999,39.31666666666668,2.7300000000000004,2013,2170
37017,12,60.97419354838709,38.464516129032255,4.02,2013,2171
37017,01,51.73225806451614,28.36774193548388,3.55,2014,2172
37017,02,56.96785714285714,35.17500000000001,3.06,2014,2173
37017,03,60.81290322580646,36.90967741935483,4.589999999999999,2014,2174
37017,04,75.84666666666666,51.09333333333334,4.880000000000001,2014,2175
37017,05,84.59677419354837,61.46129032258065,3.3399999999999994,2014,2176
37017,06,90.97666666666669,68.68333333333334,3.7600000000000002,2014,2177
37017,07,89.66451612903225,70.78709677419356,4.409999999999998,2014,2178
37017,08,87.6516129032258,69.31935483870969,4.720000000000001,2014,2179
37017,09,82.18333333333334,66.72666666666666,5.76,2014,2180
37017,10,77.83548387096775,53.35483870967741,1.36,2014,2181
37017,11,61.680000000000014,37.74333333333333,3.5100000000000002,2014,2182
37017,12,57.91290322580646,37.90967741935484,4.25,2014,2183
37017,01,53.61290322580645,32.783870967741926,4.749999999999999,2015,2184
37017,02,50.067857142857136,28.71428571428572,4.08,2015,2185
37017,03,66.28387096774195,43.16774193548387,3.2299999999999995,2015,2186
37017,04,74.64333333333333,53.42999999999998,2.4099999999999997,2015,2187
37017,05,83.51612903225808,60.38709677419355,2.7700000000000005,2015,2188
37017,06,92.14666666666669,71.23666666666666,7.679999999999999,2015,2189
37017,07,92.36774193548385,72.7548387096774,2.7499999999999996,2015,2190
37017,08,89.6774193548387,69.91612903225807,4.9799999999999995,2015,2191
37017,09,84.86,67.31000000000002,3.8400000000000003,2015,2192
37017,10,74.34516129032258,53.254838709677415,8.26,2015,2193
37017,11,68.30999999999999,48.269999999999996,6.34,2015,2194
37017,12,68.80645161290325,49.803225806451614,6.6899999999999995,2015,2195
37017,01,51.70967741935484,32.59354838709678,2.1999999999999997,2016,2196
37017,02,56.699999999999996,37.024137931034495,6.239999999999999,2016,2197
37017,03,72.38064516129032,48.680645161290336,1.3000000000000003,2016,2198
37017,04,74.50666666666666,50.676666666666684,3.05,2016,2199
37017,05,80.10645161290321,60.487096774193546,5.430000000000001,2016,2200
37017,06,89.94333333333333,69.22333333333334,3.9899999999999998,2016,2201
37017,07,93.64838709677419,74.12258064516128,6.329999999999999,2016,2202
37017,08,92.23870967741935,73.2258064516129,4.04,2016,2203
37017,09,86.44000000000003,68.77333333333331,12.229999999999997,2016,2204
37017,10,78.14193548387097,55.44193548387097,12.059999999999999,2016,2205
37017,11,67.91666666666666,41.723333333333336,1.04,2016,2206
37017,12,57.0516129032258,36.96129032258064,3.6499999999999995,2016,2207
37017,01,59.87741935483869,39.75161290322581,3.019999999999999,2017,2208
37017,02,68.76071428571427,41.760714285714286,1.06,2017,2209
37017,03,66.83225806451615,40.89677419354838,3.150000000000001,2017,2210
37017,04,78.64,57.430000000000014,5.700000000000001,2017,2211
37017,05,83.49677419354839,61.751612903225805,7.3599999999999985,2017,2212
37017,06,87.53333333333333,68.17333333333332,6.3100000000000005,2017,2213
37017,07,91.80322580645161,72.93870967741934,5.680000000000001,2017,2214
37017,08,88.69032258064514,70.86129032258064,5.749999999999998,2017,2215
37017,09,85.22999999999999,64.82000000000001,3.9399999999999995,2017,2216
37017,10,78.2709677419355,54.88064516129031,3.17,2017,2217
37017,11,66.50666666666667,40.563333333333325,0.8800000000000001,2017,2218
37017,12,56.26129032258065,36.267741935483876,3.3700000000000006,2017,2219
37017,01,51.809677419354834,27.622580645161296,3.51,2018,2220
37017,02,67.7357142857143,45.260714285714286,1.6,2018,2221
37017,03,61.080645161290334,38.87419354838709,3.2699999999999996,2018,2222
37017,04,72.72,46.99333333333334,3.6200000000000006,2018,2223
37017,05,85.60645161290323,65.81935483870969,4.949999999999999,2018,2224
37017,06,91.44333333333334,70.91333333333333,5.119999999999999,2018,2225
37017,07,90.22580645161291,71.25161290322582,7.150000000000001,2018,2226
37017,08,90.34193548387097,71.7451612903226,5.819999999999999,2018,2227
37017,09,88.72,70.93666666666668,12.379999999999999,2018,2228
37017,10,76.7290322580645,55.806451612903224,2.91,2018,2229
37017,11,62.66999999999999,43.52666666666665,5.72,2018,2230
37017,12,58.91290322580646,40.38064516129033,6.49,2018,2231
37017,01,55.72258064516129,35.86129032258064,2.93,2019,2232
